# GEM Global Historical Earthquake Catalogue
# Version 1.0 released on 2013-03-29
# Edited by Paola Albini and Roger M.W. Musson
#
# Copyright (C) 2013 GEM Foundation
#
# Contributions by: see http://www.globalquakemodel.org/contributors
#
# You may use this work under the terms of the CC-BY-NC-SA 3.0 (unported)
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# THE WORK IS PROTECTED BY COPYRIGHT AND/OR OTHER APPLICABLE
# LAW. INSOFAR AS THIS WORK IS PROTECTED BY LAWS THAT NEIGHBOUR
# OR ARE SIMILARLY RELATED TO COPYRIGHT, SUCH AS DATABASE RIGHTS
# AS INTRODUCED IN EUROPE BY THE DIRECTIVE 96/9/EC, YOU ALSO MAY
# USE THIS WORK UNDER THE TERMS OF CC-BY-NC-SA 3.0 (unported).
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# ANY USE OF THE WORK OTHER THAN AS AUTHORIZED UNDER THIS
# LICENSE OR DIRECTLY ALLOWED BY THE APPLICABLE LAW IS
# PROHIBITED.
#
# If you have any questions or if you wish to seek permission to use this data
# beyond what is offered by CC-BY-NC-SA 3.0 (unported), please contact the GEM
# Foundation at: licensing@globalquakemodel.org
#
# More information on licensing: http://www.globalquakemodel.org/licensing
# 
# -----------------------------------------------------------------------------
#
# FORMAT DESCRIPTION
# 
# CODE	DDESCRPTION	NOTES
# En	Event number	unique ID of the catalogue, in chronological order
# Source	Main source	selected dataset for time, epicentral coordinates, depth, Io
# Year	Origin time: year	from the selected dataset
# Mo	Origin time: month	from the selected dataset
# Da	Origin time: day	from the selected dataset
# Ho	Origin time: hour	from the selected dataset
# Mi	Origin time: minutes	from the selected dataset
# Se	Origin time: minutes	from the selected dataset
# Area	Epicentral area	from the selected dataset, or (in square brackets) the country (as of today) where the epicentre is located
# Lat	Epicentral latitude	from the selected dataset
# Lon	Epicentral longitude	from the selected dataset
# LatUnc	Uncertainty of epicentral latitude	in km, from the selected dataset, when available
# LonUnc	Uncertainty of epicentral longitude	in km, from the selected dataset, when available
# EpDet	Type of epicentre determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 		bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# Dep	depth	in km
# Io	epicentral intensity	from the selected dataset
# Msource	source for the magnitude	the same as "Source", with 65 exceptions
# M	magnitude	from Msource
# MUnc	magnitude uncertainty	from Msource, when available
# MType	type of magnitude	w: Mw
# 	 	s: Ms
# 	 	jma: Mjma
# 	 	<blank>: not specified by the source
# MDet	Type of magnitude determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 	 	bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	int: converted from epicentral or maximum intensity
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# MDPsource	Source of the Macroseismic Data Points	 
# MDPn	Number of Macroseismic Data Points	 
# MDPIx	Maximum intensity	 
# MDPsc	Macroseimic scale of the MPDs	MM: modified Mercalli
# 		MSK: Medvedev-Sponheuer-Karnik
# 		EMS: European Macroseimic Scale
# 		MCS: Mercalli-Cancani-Sieberg
# 		JMA: Japan Meteorological Agency
# Remarks	 Additional information from the source
# 
# -----------------------------------------------------------------------------
# 
En	Source	Year	Mo	Da	Ho	Mi	Se	Area	Lat	Lon	LatUnc	LonUnc	EpDet	Dep	Io	Msource	M	MUnc	MType	MDet	MDPSource	MDPn	MDPIx	MDPsc	Remarks
1290.0927	Min Ziqun, 1995	1290	10	4				W of Ningcheng (Inner Mongolia)	41.6	119.3	50	50			9	Min Ziqun, 1995	6.75		s						
1293.052006	UTSU online	1293	5	20	6			Kamakura	35.2	139.5						UTSU online	7.5		jma						
1303.080803	Stucchi et al., 2012	1303	8	8	3	30		Crete	35.717	25.797	50	50	bw			Stucchi et al., 2012	8.26	0.3	w		Guidoboni and Comastri, 2005	40	10	MCS	
1303.0925	Min Ziqun, 1995	1303	9	25				Hongtong and Zaocheng (Shanxi)	36.3	111.7	25	25			11	Min Ziqun, 1995	8		s		Min Ziqun, 1995		11		
1309.022205	Stucchi et al., 2012	1309	2	22	5	30		Offshore Portugal	36	-11	99.9	99.9	cat			Stucchi et al., 2012	7	0.5	w						
1327	Stucchi et al., 2012	1327						[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.3	0.3	w						
1331.0807	UTSU online	1331	8	7				Kiichirihama	33.7	135.2						UTSU online	7		jma						
1336.102106	Ambraseys and Bilham, 2003	1336	10	21	6			Kwaf	34.7	59.7						Ambraseys and Bilham, 2003	7.5		w						
1344.0102	Sbeinati et al., 2005	1344	1	2				[Turkey]	36.7	37.4				30	8	Sbeinati et al., 2005	6.8		s		Sbeinati et al., 2005	4	8	EMS	
1352.0426	Min Ziqun, 1995	1352	4	26				SE of Jiuquan (Gansu)	35.6	105.3	100	100				Min Ziqun, 1995	7		s						
1354.030117	Stucchi et al., 2012	1354	3	1	17			Sea of Marmara	40.525	26.846	26.4	29.4	bx		10	Stucchi et al., 2012	7.06	0.33	w		Guidoboni and Comastri, 2005	5	10	MCS	
1356.0824	Stucchi et al., 2012	1356	8	24				SW. Cabo San Vicente	36	-10.7	99.9	99.9	cat			Stucchi et al., 2012	7.5	0.5	w		Instituto Geografíco Nacional, 2010	5	8	EMS	
1360.1114	UTSU online	1360	11	14				Japan	33.4	136.2						UTSU online	7.8		jma						
1361.072604	UTSU online	1361	7	26	4			Cent. and South. Kinki, Shikoku	33	135						UTSU online	8.4		jma						
1363	Shebalin and Tatevossian, 1997	1363						Turkey	38.7	41.6	39	33		15	9	Shebalin and Tatevossian, 1997	6.9		s		Shebalin and Tatevossian, 1997	1		MSK	"crustal"
1365.010318	Hamdache et al., 2010	1365	1	3	18			Algeria	36.77	3.05					10	Hamdache et al., 2010	7		w						
1389.02	Ambraseys and Bilham, 2003	1389	2					Nishapur	36.2	58.8						Ambraseys and Bilham, 2003	7.5		w						
1403	UTSU online	1403						Kii	33.7	136.5						UTSU online	7		jma						
1404.022	Sbeinati et al., 2005	1404	2	20				[Syria]	35.7	36.2				30	8-9	Sbeinati et al., 2005	7.4		s		Sbeinati et al., 2005	8	8	EMS	
1405.1123	Ambraseys and Bilham, 2003	1405	11	23				Nishapur	36.2	58.8						Ambraseys and Bilham, 2003	7.5		w						
1408.0112	UTSU online	1408	1	12				Kii peninsula	33	136						UTSU online	7.5		jma						
1408.1229	Sbeinati et al., 2005	1408	12	29				[Syria]	35.8	36.1				25	9	Sbeinati et al., 2005	7.4		s		Sbeinati et al., 2005	7	8-9	EMS	
1411.092905	Min Ziqun, 1995	1411	10	8				SW Dangxiong (Danxung), Xizang (Tibet)	30.1	90.5	50	50			10-11	Min Ziqun, 1995	8		s		Min Ziqun, 1995		10-11		
1433.1029	UTSU online	1433	10	29				S Kanto area	34.9	139.5						UTSU online	7		jma						
1440	Ambraseys and Melville, 1982	1440						Karzin-Qir	28.4	53.1						Ambraseys and Melville, 1982	7.1		s						
1446.101004	Stucchi et al., 2012	1446	10	10	4			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8-9	Stucchi et al., 2012	7.5	0.3	w						
1456.1205	Stucchi et al., 2012	1456	12	5				Molise	41.302	14.711	10.5	10.3	bx		11	Stucchi et al., 2012	7.17	0.3	w		Meletti et al., 1988	199	11	MCS	
1457.0423	Shebalin and Tatevossian, 1997	1457	4					Turkey	39.9	40.4	66	56		25	9-10	Shebalin and Tatevossian, 1997	7.6		s		Shebalin and Tatevossian, 1997	2		MSK	
1458.1112	Ambraseys, 2006	1458	11	16				Dead Sea	31	35.3						Ambraseys, 2006	7.1		s						
1460	Musson, 2012c	1460						Wellington	-41.2	174.8						Musson, 2012c	8		w						
1471	Tavera et al., 2001	1471						[Peru]	-16.3	-71				25	9	Tavera et al., 2001	8		s		Tavera et al., 2001	1	8	MM	
1471.082908	Stucchi et al., 2012	1471	8	29	8			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	110	9	Stucchi et al., 2012	7.5	0.3	w						
1485.081518	Ambraseys and Melville, 1982	1485	8	15				Mazandaran-Gilan	36.7	50.5						Ambraseys and Melville, 1982	7.2		s						
1493.011006	Ambraseys and Bilham, 2003	1493	1	10	6			Muminabad-I	33	59.8						Ambraseys and Bilham, 2003	6.9		w						
1494.07011	Stucchi et al., 2012	1494	7	1	10	10		Crete	35.5	23.3	10	10	cat		8	Stucchi et al., 2012	7.5	0.5	w		Guidoboni and Comastri, 2005	2	8-9	MCS	
1498.091108	UTSU online	1498	9	11	8			Tokaido, Kii and others	34	138						UTSU online	8.3		jma						
1500.0103	Min Ziqun, 1995	1500	1	4				Yiliang (Yunnan)	24.9	103.1	50	50			9	Min Ziqun, 1995	7		s						
1501.0129	Min Ziqun, 1995	1501	1	29				Chaoyi (Shanxi)	34.8	110.1	25	25			9	Min Ziqun, 1995	7		s						
1505.060605	Ambraseys and Douglas, 2004	1505	6	6	5			Lo Mustang	29.5	83						Ambraseys and Douglas, 2004	8.1		w						
1505.0706	Ambraseys and Bilham, 2003	1505	7	6				Kabul	34.5	69.1						Ambraseys and Bilham, 2003	7.2		w						
1508.0529	Stucchi et al., 2012	1508	5	29				Hierapetra	35.02	25.72	20	20	bx		9	Stucchi et al., 2012	7.12	0.39	w		University of Thessaloniki, 2003	11	10	MM	
1509.091	Stucchi et al., 2012	1509	9	10				Istanbul	41.022	28.786	1.5	16.3	bx		10	Stucchi et al., 2012	7.14	0.33	w		University of Thessaloniki, 2003	12	10	MM	
1513	Tavera et al., 2001	1513						[Peru]	-17.21	-72.3				30		Tavera et al., 2001	8.7		s						
1513.0000002	Ambraseys, 1989	1513						Tarsus-Malatya	37.5	36.5	40	40			9	Ambraseys, 1989	7.4		s						"Ms 7.4+"
1515.0627	Min Ziqun, 1995	1515	6	27				NE of Heqing (Yunnan)	26.7	100.7	50	50			10	Min Ziqun, 1995	7.75		s		Min Ziqun, 1995		10		
1516.112412	Stucchi et al., 2012	1516	11	24	12			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	9	Stucchi et al., 2012	7.5	0.3	w						
1520.032517	UTSU online	1520	3	25	17			Kyoto, Kii	33	136						UTSU online	7.4		jma						
1526	Peraldo and Montero, 1999	1526						[Guatemala]	13.6	-90.24					6	Peraldo and Montero, 1999	7.1		s						
1530.090114	Sismología Histórica de Venezuela, 2011	1530	9	1	14			[Venezuela]	10.7	-64.1			cat		10-11	Sismología Histórica de Venezuela, 2011	7.3		s		Sismología Histórica de Venezuela, 2011	1	11	MCS	
1533.01	Tavera et al., 2001	1533	1					[Peru]	-12.2	-77.8				30		Tavera et al., 2001	6.5		s						
1536.0329	Min Ziqun, 1995	1536	3	19				N of Xichang (Sichuan)	28.1	102.2	25	25			10	Min Ziqun, 1995	7.5		s						
1539	Peraldo and Montero, 1999	1539	11	24				[Honduras]	16.5	-86					8	Peraldo and Montero, 1999	7.2		s						
1548.0922	Min Ziqun, 1995	1548	9	22				Bohai Sea	38	121	150	150			8	Min Ziqun, 1995	6.4		s						
1550.000001	Shebalin and Tatevossian, 1997	1550						Iran	38.2	46.2	130	111		22	9	Shebalin and Tatevossian, 1997	7.1		s		Shebalin and Tatevossian, 1997	3		MSK	
1552.07021	Tavera et al., 2001	1552	7	2	10	30		[Peru]	-16.6	-71.3				30	9	Tavera et al., 2001	7.6		s		Tavera et al., 2001	3	8	MM	
1555.090022	Ambraseys and Douglas, 2004	1555	9	0	22			Srinagar	33.5	75.5						Ambraseys and Douglas, 2004	7.5		w						
1555.1115	Tavera et al., 2001	1555	11	15				[Peru]	-11.9	-77.6				30	6	Tavera et al., 2001	8.4		s						
1556.0202	Min Ziqun, 1995	1556	2	2				Huaxian (Shanxi)	34.5	109.7	25	25			11	Min Ziqun, 1995	8.25		s						
1561.0804	Min Ziqun, 1995	1561	8	4				E of Zhongwei (Ningxia)	37.5	106.2	25	25			9-10	Min Ziqun, 1995	7.25		s						
1562.120301	Flores et al., 2012	1562	12	2				[Dominican Republic]	19.37	-70.68			bw			Flores et al., 2012	7.7	0.3	w	bw	Flores et al., 2012	6	8	MM	
1563.0528	Chiu and Kim, 2004	1563	5	28				Pyongyang Region	38.8	126.1						Chiu and Kim, 2004	7		s						
1564.042	SisFrance, 2010	1564	4	20				Republique Dominicaine	19.217	-70.517	50	50			8-9	Alvarez et al., 1999	7		s		SisFrance, 2010	3	8-9	MSK	
1568.1227	Torres-Vera, 2010	1568	12	27				Jalisco	20.2	-103.5			bx			Torres-Vera, 2010	7.1		s		Torres-Vera, 2010	16	10	MM	
1570.020805	CERESIS, 1995	1570	2	8	5			[Chile]	-36.75	-73					11	Lomnitz, 2004	8		s				11		
1575.031706	CERESIS, 1995	1575	3	17	6			[Chile]	-33.4	-70.6					8	Lomnitz, 2004	7.25	0.25	s				8		
1575.121618	CERESIS, 1995	1575	12	16	18	30		[Chile]	-39.8	-73.2					10	Lomnitz, 2004	8.25	0.25	s				10		
1577.113006	Peraldo and Montero, 1999	1577	11	29				[Guatemala]	14	-92.5					8	Peraldo and Montero, 1999	7.2		s						
1578.08	Alvarez et al., 1999	1578	8					[Cuba]	19.9	-76				30		Alvarez et al., 1999	6.7		s						
1581	Tavera et al., 2001	1581						[Peru]	-12.4	-77.7				30	6	Tavera et al., 2001	7.6		s						
1582.012216	Tavera et al., 2001	1582	1	22	16	30		[Peru]	-16.6	-71.6				30	10	Tavera et al., 2001	7.5		w		Tavera et al., 2001	4	10	MM	
1582.0815	Tavera et al., 2001	1582	8	15				[Peru]	-12.2	-77.6				30	7	Tavera et al., 2001	7.8		s		Tavera et al., 2001	2	7	MM	
1584.0317	Tavera et al., 2001	1584	3	17				[Peru]	-11.8	-77.8				30	7	Tavera et al., 2001	8.4		s		Tavera et al., 2001	2	7	MM	
1585.062802	Stucchi et al., 2012	1585	6	28	2			Athos	39.786	24.372	50	50	bw			Stucchi et al., 2012	7.06	0.39	w		University of Thessaloniki, 2003	3	8	MM	
1586.0116	UTSU online	1586	1	16				Ecchu	36.6	136.9						UTSU online	7		jma						
1586.011801	UTSU online	1586	1	18	1			Tsubu and Kinki area	36	136.9						UTSU online	7.8		jma						
1586.071	Tavera et al., 2001	1586	7	10	0	30		[Peru]	-12.109	-77.028				40	10	Tavera et al., 2001	8.6		s		Tavera et al., 2001	12	9	MM	
1588.010413	Ambraseys, 2006	1588	1	4				Dead Sea	29	36						Ambraseys, 2006	7.2		s						
1588.0809	Min Ziqun, 1995	1588	8	9				Jianshui (Yunnan)	24	102.8	25	25			9	Min Ziqun, 1995	7		s						
1590	Tavera et al., 2001	1590						[Peru]	-17.2	-72.9				40	7	Tavera et al., 2001	7.7		s		Tavera et al., 2001	2	7	MM	
1591.0314	Zúñiga et al., 1997	1591	3	14				[Mexico]	16	-92.5				0		Zúñiga et al., 1997	7		w						
1595.04211	Stucchi et al., 2012	1595	4	21	10			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.1	0.3	w						
1596.090419	UTSU online	1596	9	4	19			Oita Pref.	33.3	131.6						UTSU online	7		jma						
1596.090501	UTSU online	1596	9	5	1			Kinki area	34.65	135.6						UTSU online	7.5		jma						
1597.1006	Min Ziqun, 1995	1597	10	6				Bohai Sea	38.5	120	150	150				Min Ziqun, 1995	7		s						
1600.02191	Tavera et al., 2001	1600	2	19	10			[Peru]	-16.77	-70.9				20	11	Tavera et al., 2001	7.9		s		Tavera et al., 2001	2	11	MM	
1600.02282	Tavera et al., 2001	1600	2	28	20			[Peru]	-16.6	-70.8				20	10	Tavera et al., 2001	8.1		s		Tavera et al., 2001	5	10	MM	
1600.0929	Min Ziqun, 1995	1600	9	29				Nan'ao (Guangdong)	23.5	117.2	25	25			9	Min Ziqun, 1995	7		s						
1604.112418	CERESIS, 1995	1604	11	24	18	30		[Peru]	-17.88	-70.94				80	10	Lomnitz, 2004	8.25	0.25	s				10		
1604.1229	Min Ziqun, 1995	1604	12	29				Offshore Quanzhou (Fujian)	24.7	119	100	100				Min Ziqun, 1995	7.5		s						
1605.02032	UTSU online	1605	2	3	20			Tokai, Nankai and Saikai roads	33.5	138.5						UTSU online	7.9		jma						
1605.0713	Min Ziqun, 1995	1605	7	13				Qiongshan (Hainan)	20	110.5	25	25			10	Min Ziqun, 1995	7.5		s						
1606.03232	Tavera et al., 2001	1606	3	23	20			[Peru]	-7	-80.3				40	6	Tavera et al., 2001	6.5		s		Tavera et al., 2001	2	5	MM	
1606.102513	Tavera et al., 2001	1606	10	25	13			[Peru]	-11.8	-77.8				60	9	Tavera et al., 2001	6.8		s		Tavera et al., 2001	1	8	MM	
1608.042012	Ambraseys and Melville, 1982	1608	4	20				Taliqan	36.4	50.5						Ambraseys and Melville, 1982	7.6		s						
1609	Benito et al., 2012	1609						[Nicaragua]	12.42	-86.55			cat		8	Benito et al., 2012	7.2		w					MM	
1609.04	Stucchi et al., 2012	1609	4					Rhodos	36.2	29	10	10	cat		9	Stucchi et al., 2012	7.2	0.5	w		University of Thessaloniki, 2003	3	9	MM	
1609.0712	Min Ziqun, 1995	1609	7	11				Jiuquan and Hongyapu (Gansu)	39.2	99	50	50			10	Min Ziqun, 1995	7.25		s						
1609.102001	CERESIS, 1995	1609	10	20	1			[Peru]	-11.9	-77.4				55	9	CERESIS, 1995	7.4		s				9		
1610.020319	Palme et al., 2005	1610	2	3				[Venezuela]	8.45	-71.65			bw			Palme et al., 2005	7.6	0.63	w	bw					
1611.0825	Torres-Vera, 2010	1611	8	31				Oaxaca	17.825	-97.64			bx			Torres-Vera, 2010	7.4		s		Torres-Vera, 2010	7	7	MM	
1611.120214	UTSU online	1611	12	2	14			Sanriku, E coast of Hokkaido	39	144						UTSU online	8.1		jma						
1612.1108	Stucchi et al., 2012	1612	11	8				Heraklio	35	23.8	10	10	cat		8	Stucchi et al., 2012	7.2	0.5	w		University of Thessaloniki, 2003	1	8	MM	
1614.1126	Usami, 1979	1614	11	26				Japan	37.5	138						Usami, 1979	7.7		jma						
1615.0907	Chuy and Alvarez, 1988	1615	9	8				[Dominican Republic]	18.4	-69.9				30	7	Flores et al., 2012	7.5	0.7	w	bw	Chuy and Alvarez, 1988	1	7	MSK	
1615.0916	CERESIS, 1995	1615	9	16				[Chile]	-18.5	-70.35					10	CERESIS, 1995	7.5		s				10		
1616.02	CERESIS, 1995	1616	2					[Colombia]	5	-74					9	CERESIS, 1995	7		s				9		
1616.090915	UTSU online	1616	9	9	15			Sendai	38.1	142						UTSU online	7		jma						
1619.021416	CERESIS, 1995	1619	2	14	16	30		[Peru]	-8.9	-79.3				50	9	Dorbath et al., 1990	7.85	0.15	w				9		
1619.113016	Bautista and Oike, 2000	1619	11	30	16			Philippines	18.5	121.6						Bautista and Oike, 2000	8		s						
