# GEM Global Historical Earthquake Catalogue
# Version 1.0 released on 2013-03-29
# Edited by Paola Albini and Roger M.W. Musson
#
# Copyright (C) 2013 GEM Foundation
#
# Contributions by: see http://www.globalquakemodel.org/contributors
#
# You may use this work under the terms of the CC-BY-NC-SA 3.0 (unported)
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# THE WORK IS PROTECTED BY COPYRIGHT AND/OR OTHER APPLICABLE
# LAW. INSOFAR AS THIS WORK IS PROTECTED BY LAWS THAT NEIGHBOUR
# OR ARE SIMILARLY RELATED TO COPYRIGHT, SUCH AS DATABASE RIGHTS
# AS INTRODUCED IN EUROPE BY THE DIRECTIVE 96/9/EC, YOU ALSO MAY
# USE THIS WORK UNDER THE TERMS OF CC-BY-NC-SA 3.0 (unported).
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# ANY USE OF THE WORK OTHER THAN AS AUTHORIZED UNDER THIS
# LICENSE OR DIRECTLY ALLOWED BY THE APPLICABLE LAW IS
# PROHIBITED.
#
# If you have any questions or if you wish to seek permission to use this data
# beyond what is offered by CC-BY-NC-SA 3.0 (unported), please contact the GEM
# Foundation at: licensing@globalquakemodel.org
#
# More information on licensing: http://www.globalquakemodel.org/licensing
# 
# -----------------------------------------------------------------------------
#
# FORMAT DESCRIPTION
# 
# CODE	DDESCRPTION	NOTES
# En	Event number	unique ID of the catalogue, in chronological order
# Source	Main source	selected dataset for time, epicentral coordinates, depth, Io
# Year	Origin time: year	from the selected dataset
# Mo	Origin time: month	from the selected dataset
# Da	Origin time: day	from the selected dataset
# Ho	Origin time: hour	from the selected dataset
# Mi	Origin time: minutes	from the selected dataset
# Se	Origin time: seconds	from the selected dataset
# Area	Epicentral area	from the selected dataset, or (in square brackets) the country (as of today) where the epicentre is located
# Lat	Epicentral latitude	from the selected dataset
# Lon	Epicentral longitude	from the selected dataset
# LatUnc	Uncertainty of epicentral latitude	in km, from the selected dataset, when available
# LonUnc	Uncertainty of epicentral longitude	in km, from the selected dataset, when available
# EpDet	Type of epicentre determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 		bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# Dep	depth	in km
# Io	epicentral intensity	from the selected dataset
# Msource	source for the magnitude	the same as "Source", with 65 exceptions
# M	magnitude	from Msource
# MUnc	magnitude uncertainty	from Msource, when available
# MType	type of magnitude	w: Mw
# 	 	s: Ms
# 	 	jma: Mjma
# 	 	<blank>: not specified by the source
# MDet	Type of magnitude determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 	 	bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	int: converted from epicentral or maximum intensity
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# MDPsource	Source of the Macroseismic Data Points	 
# MDPn	Number of Macroseismic Data Points	 
# MDPIx	Maximum intensity	 
# MDPsc	Macroseimic scale of the MPDs	MM: modified Mercalli
# 		MSK: Medvedev-Sponheuer-Karnik
# 		EMS: European Macroseimic Scale
# 		MCS: Mercalli-Cancani-Sieberg
# 		JMA: Japan Meteorological Agency
# Remarks	 Additional information from the source
# 
# -----------------------------------------------------------------------------
# 
En	Source	Year	Mo	Da	Ho	Mi	Se	Area	Lat	Lon	LatUnc	LonUnc	EpDet	Dep	Io	Msource	M	MUnc	MType	MDet	MDPSource	MDPn	MDPIx	MDPsc	Remarks	GEHid
1170.0629000	Sbeinati et al., 2005	1170	06	29				[Syria]	34.800	36.400				35	9	Sbeinati et al., 2005	7.70		s		Sbeinati et al., 2005	12	7-8	EMS		175
1177.0500000	Ambraseys and Melville, 1982	1177	05					East Buyin Zahra	35.700	50.700						Ambraseys and Melville, 1982	7.20		s							6852
1185.0806120	UTSU online	1185	08	06	12			Kyoto Pref., Shiga Pref.	35.000	135.900						UTSU online	7.40		jma							190
1196.0213070	Stucchi et al., 2012	1196	02	13	07			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	9	Stucchi et al., 2012	7.50	0.30	w							199
1202.0520000	Sbeinati et al., 2005	1202	05	20				[Lebanon]	34.100	36.100				30	9	Sbeinati et al., 2005	7.60		s		Sbeinati et al., 2005	38	9	EMS		205
1209.0000000	Ambraseys and Bilham, 2003	1209			12			Nishapur	36.400	58.700						Ambraseys and Bilham, 2003	7.50		w							216
1212.0501050	Ambraseys, 2006	1212	05	01				Dead Sea	30.000	35.000						Ambraseys, 2006	7.00		s							7656
1216.0324000	Min Ziqun, 1995	1216	03	24				Leibo (Sichuan)	28.400	103.800	150.0	150.0			9	Min Ziqun, 1995	7.00		s							6005
1230.0510070	Stucchi et al., 2012	1230	05	10	07			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8-9	Stucchi et al., 2012	7.30	0.30	w		Shebalin (ed.), 1977	7	6	MSK		235
1246.0000000	Stucchi et al., 2012	1246						Chania	35.400	23.300	10.0	10.0	cat		7	Stucchi et al., 2012	7.00	0.50	w		University of Thessaloniki, 2003	1	7	MM		242
1254.1014000	Ambraseys and Jackson, 1998	1254	10	11				Susehri	40.000	39.000						Ambraseys and Jackson, 1998	7.40	0.40	s						"7.0 ≤ Ms < 7.8"	7674
1257.1002200	UTSU online	1257	10	02	20			Kamakura (Sanriku?)	35.300	139.600						UTSU online	7.30		jma							251
1260.0000000	Shebalin and Leydecker, 1997	1260						Caucasus	43.200	51.600	68.0	56.0		20		Shebalin and Leydecker, 1997	7.20		s							254
1268.0000010	Shebalin and Tatevossian, 1997	1268						Turkey	39.800	40.000	132.0	111.0		25	9-10	Shebalin and Tatevossian, 1997	7.20		s		Shebalin and Tatevossian, 1997	2		MSK	"crustal"	6719
1270.1007120	Ambraseys and Bilham, 2003	1270	10	07	12			Nishapur	36.200	58.800						Ambraseys and Bilham, 2003	7.00		w							268
1275.1003000	Guidoboni and Comastri, 2005	1275	10	03				Ercis	38.883	42.916					9	Shebalin and Tatevossian, 1997	6.80		s		Guidoboni and Comastri, 2005	6	10	MCS		5351
1290.0927000	Min Ziqun, 1995	1290	10	04				W of Ningcheng (Inner Mongolia)	41.600	119.300	50.0	50.0			9	Min Ziqun, 1995	6.75		s							6526
1293.0520060	UTSU online	1293	05	20	06			Kamakura	35.200	139.500						UTSU online	7.50		jma							293
1303.0808030	Stucchi et al., 2012	1303	08	08	03	30		Crete	35.717	25.797	50.0	50.0	bw			Stucchi et al., 2012	8.26	0.30	w		Guidoboni and Comastri, 2005	40	10	MCS		301
1303.0925000	Min Ziqun, 1995	1303	09	25				Hongtong and Zaocheng (Shanxi)	36.300	111.700	25.0	25.0			11	Min Ziqun, 1995	8.00		s		Min Ziqun, 1995		11			6015
1309.0222050	Stucchi et al., 2012	1309	02	22	05	30		Offshore Portugal	36.000	-11.000	99.9	99.9	cat			Stucchi et al., 2012	7.00	0.50	w							315
1327.0000000	Stucchi et al., 2012	1327						[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.30	0.30	w							330
1331.0807000	UTSU online	1331	08	07				Kiichirihama	33.700	135.200						UTSU online	7.00		jma							331
1336.1021060	Ambraseys and Bilham, 2003	1336	10	21	06			Kwaf	34.700	59.700						Ambraseys and Bilham, 2003	7.50		w							337
1344.0102000	Sbeinati et al., 2005	1344	01	02				[Turkey]	36.700	37.400				30	8	Sbeinati et al., 2005	6.80		s		Sbeinati et al., 2005	4	8	EMS		344
1352.0426000	Min Ziqun, 1995	1352	04	26				SE of Jiuquan (Gansu)	35.600	105.300	100.0	100.0				Min Ziqun, 1995	7.00		s							6023
1354.0301170	Stucchi et al., 2012	1354	03	01	17			Sea of Marmara	40.525	26.846	26.4	29.4	bx		10	Stucchi et al., 2012	7.06	0.33	w		Guidoboni and Comastri, 2005	5	10	MCS		353
1356.0824000	Stucchi et al., 2012	1356	08	24				SW. Cabo San Vicente	36.000	-10.700	99.9	99.9	cat			Stucchi et al., 2012	7.50	0.50	w		Instituto Geografíco Nacional, 2010	5	8	EMS		356
1360.1114000	UTSU online	1360	11	14				Japan	33.400	136.200						UTSU online	7.80		jma							359
1361.0726040	UTSU online	1361	07	26	04			Cent. and South. Kinki, Shikoku	33.000	135.000						UTSU online	8.40		jma							360
1363.0000000	Shebalin and Tatevossian, 1997	1363						Turkey	38.700	41.600	39.0	33.0		15	9	Shebalin and Tatevossian, 1997	6.90		s		Shebalin and Tatevossian, 1997	1		MSK	"crustal"	6730
1365.0103180	Hamdache et al., 2010	1365	01	03	18			Algeria	36.770	3.050					10	Hamdache et al., 2010	7.00		w							6668
1389.0200000	Ambraseys and Bilham, 2003	1389	02					Nishapur	36.200	58.800						Ambraseys and Bilham, 2003	7.50		w							373
1403.0000000	UTSU online	1403						Kii	33.700	136.500						UTSU online	7.00		jma							386
1404.0220000	Sbeinati et al., 2005	1404	02	20				[Syria]	35.700	36.200				30	8-9	Sbeinati et al., 2005	7.40		s		Sbeinati et al., 2005	8	8	EMS		388
1405.1123000	Ambraseys and Bilham, 2003	1405	11	23				Nishapur	36.200	58.800						Ambraseys and Bilham, 2003	7.50		w							390
1408.0112000	UTSU online	1408	01	12				Kii peninsula	33.000	136.000						UTSU online	7.50		jma							398
1408.1229000	Sbeinati et al., 2005	1408	12	29				[Syria]	35.800	36.100				25	9	Sbeinati et al., 2005	7.40		s		Sbeinati et al., 2005	7	8-9	EMS		401
1411.0929050	Min Ziqun, 1995	1411	10	08				SW Dangxiong (Danxung), Xizang (Tibet)	30.100	90.500	50.0	50.0			10-11	Min Ziqun, 1995	8.00		s		Min Ziqun, 1995		10-11			6032
1433.1029000	UTSU online	1433	10	29				S Kanto area	34.900	139.500						UTSU online	7.00		jma							426
1440.0000000	Ambraseys and Melville, 1982	1440						Karzin-Qir	28.400	53.100						Ambraseys and Melville, 1982	7.10		s							6858
1446.1010040	Stucchi et al., 2012	1446	10	10	04			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8-9	Stucchi et al., 2012	7.50	0.30	w							439
1456.1205000	Stucchi et al., 2012	1456	12	05				Molise	41.302	14.711	10.5	10.3	bx		11	Stucchi et al., 2012	7.17	0.30	w		Meletti et al., 1988	199	11	MCS		447
1457.0423000	Shebalin and Tatevossian, 1997	1457	04					Turkey	39.900	40.400	66.0	56.0		25	9-10	Shebalin and Tatevossian, 1997	7.60		s		Shebalin and Tatevossian, 1997	2		MSK		6735
1458.1112000	Ambraseys, 2006	1458	11	16				Dead Sea	31.000	35.300						Ambraseys, 2006	7.10		s							7655
1460.0000000	Musson, 2012c	1460						Wellington	-41.200	174.800						Musson, 2012c	8.00		w							8324
1471.0000000	Tavera et al., 2001	1471						[Peru]	-16.300	-71.000				25	9	Tavera et al., 2001	8.00		s		Tavera et al., 2001	1	8	MM		7868
1471.0829080	Stucchi et al., 2012	1471	08	29	08			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	110	9	Stucchi et al., 2012	7.50	0.30	w							464
1485.0815180	Ambraseys and Melville, 1982	1485	08	15				Mazandaran-Gilan	36.700	50.500						Ambraseys and Melville, 1982	7.20		s							6860
1493.0110060	Ambraseys and Bilham, 2003	1493	01	10	06			Muminabad-I	33.000	59.800						Ambraseys and Bilham, 2003	6.90		w							505
1494.0701100	Stucchi et al., 2012	1494	07	01	10	10		Crete	35.500	23.300	10.0	10.0	cat		8	Stucchi et al., 2012	7.50	0.50	w		Guidoboni and Comastri, 2005	2	8-9	MCS		513
1498.0911080	UTSU online	1498	09	11	08			Tokaido, Kii and others	34.000	138.000						UTSU online	8.30		jma							524
1500.0103000	Min Ziqun, 1995	1500	01	04				Yiliang (Yunnan)	24.900	103.100	50.0	50.0			9	Min Ziqun, 1995	7.00		s							6045
1501.0129000	Min Ziqun, 1995	1501	01	29				Chaoyi (Shanxi)	34.800	110.100	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6047
1505.0606050	Ambraseys and Douglas, 2004	1505	06	06	05			Lo Mustang	29.500	83.000						Ambraseys and Douglas, 2004	8.10		w							556
1505.0706000	Ambraseys and Bilham, 2003	1505	07	06				Kabul	34.500	69.100						Ambraseys and Bilham, 2003	7.20		w							557
1508.0529000	Stucchi et al., 2012	1508	05	29				Hierapetra	35.020	25.720	20.0	20.0	bx		9	Stucchi et al., 2012	7.12	0.39	w		University of Thessaloniki, 2003	11	10	MM		563
1509.0910000	Stucchi et al., 2012	1509	09	10				Istanbul	41.022	28.786	1.5	16.3	bx		10	Stucchi et al., 2012	7.14	0.33	w		University of Thessaloniki, 2003	12	10	MM		566
1513.0000000	Tavera et al., 2001	1513						[Peru]	-17.210	-72.300				30		Tavera et al., 2001	8.70		s							7869
1513.0000002	Ambraseys, 1989	1513						Tarsus-Malatya	37.500	36.500	40.0	40.0			9	Ambraseys, 1989	7.40		s						"Ms 7.4+"	7727
1515.0627000	Min Ziqun, 1995	1515	06	27				NE of Heqing (Yunnan)	26.700	100.700	50.0	50.0			10	Min Ziqun, 1995	7.75		s		Min Ziqun, 1995		10			6051
1516.1124120	Stucchi et al., 2012	1516	11	24	12			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	9	Stucchi et al., 2012	7.50	0.30	w							587
1520.0325170	UTSU online	1520	03	25	17			Kyoto, Kii	33.000	136.000						UTSU online	7.40		jma							592
1526.0000000	Peraldo and Montero, 1999	1526						[Guatemala]	13.600	-90.240					6	Peraldo and Montero, 1999	7.10		s							8105
1530.0901140	Sismología Histórica de Venezuela, 2011	1530	09	01	14			[Venezuela]	10.700	-64.100			cat		10-11	Sismología Histórica de Venezuela, 2011	7.30		s		Sismología Histórica de Venezuela, 2011	1	11	MCS		7870
1533.0100000	Tavera et al., 2001	1533	01					[Peru]	-12.200	-77.800				30		Tavera et al., 2001	6.50		s							7871
1536.0329000	Min Ziqun, 1995	1536	03	19				N of Xichang (Sichuan)	28.100	102.200	25.0	25.0			10	Min Ziqun, 1995	7.50		s							6065
1539.0000000	Peraldo and Montero, 1999	1539	11	24				[Honduras]	16.500	-86.000					8	Peraldo and Montero, 1999	7.20		s							8179
1548.0922000	Min Ziqun, 1995	1548	09	22				Bohai Sea	38.000	121.000	150.0	150.0			8	Min Ziqun, 1995	6.40		s							6079
1550.0000010	Shebalin and Tatevossian, 1997	1550						Iran	38.200	46.200	130.0	111.0		22	9	Shebalin and Tatevossian, 1997	7.10		s		Shebalin and Tatevossian, 1997	3		MSK		6742
1552.0702100	Tavera et al., 2001	1552	07	02	10	30		[Peru]	-16.600	-71.300				30	9	Tavera et al., 2001	7.60		s		Tavera et al., 2001	3	8	MM		7872
1555.0900220	Ambraseys and Douglas, 2004	1555	09	00	22			Srinagar	33.500	75.500						Ambraseys and Douglas, 2004	7.50		w							646
1555.1115000	Tavera et al., 2001	1555	11	15				[Peru]	-11.900	-77.600				30	6	Tavera et al., 2001	8.40		s							7873
1556.0202000	Min Ziqun, 1995	1556	02	02				Huaxian (Shanxi)	34.500	109.700	25.0	25.0			11	Min Ziqun, 1995	8.25		s							6089
1561.0804000	Min Ziqun, 1995	1561	08	04				E of Zhongwei (Ningxia)	37.500	106.200	25.0	25.0			9-10	Min Ziqun, 1995	7.25		s							6095
1562.1203010	Flores et al., 2012	1562	12	02				[Dominican Republic]	19.370	-70.680			bw			Flores et al., 2012	7.70	0.30	w	bw	Flores et al., 2012	6	8	MM		8335
1563.0528000	Chiu and Kim, 2004	1563	05	28				Pyongyang Region	38.800	126.100						Chiu and Kim, 2004	7.00		s							6096
1564.0420000	SisFrance, 2010	1564	04	20				Republique Dominicaine	19.217	-70.517	50.0	50.0			8-9	Alvarez et al., 1999	7.00		s		SisFrance, 2010	3	8-9	MSK		8336
1568.1227000	Torres-Vera, 2010	1568	12	27				Jalisco	20.200	-103.500			bx			Torres-Vera, 2010	7.10		s		Torres-Vera, 2010	16	10	MM		8904
1570.0208050	CERESIS, 1995	1570	02	08	05			[Chile]	-36.750	-73.000					11	Lomnitz, 2004	8.00		s				11			694
1575.0317060	CERESIS, 1995	1575	03	17	06			[Chile]	-33.400	-70.600					8	Lomnitz, 2004	7.25	0.25	s				8			706
1575.1216180	CERESIS, 1995	1575	12	16	18	30		[Chile]	-39.800	-73.200					10	Lomnitz, 2004	8.25	0.25	s				10			712
1577.1130060	Peraldo and Montero, 1999	1577	11	29				[Guatemala]	14.000	-92.500					8	Peraldo and Montero, 1999	7.20		s							8108
1578.0800000	Alvarez et al., 1999	1578	08					[Cuba]	19.900	-76.000				30		Alvarez et al., 1999	6.70		s							727
1581.0000000	Tavera et al., 2001	1581						[Peru]	-12.400	-77.700				30	6	Tavera et al., 2001	7.60		s							7879
1582.0122160	Tavera et al., 2001	1582	01	22	16	30		[Peru]	-16.600	-71.600				30	10	Tavera et al., 2001	7.50		w		Tavera et al., 2001	4	10	MM		7881
1582.0815000	Tavera et al., 2001	1582	08	15				[Peru]	-12.200	-77.600				30	7	Tavera et al., 2001	7.80		s		Tavera et al., 2001	2	7	MM		7882
1584.0317000	Tavera et al., 2001	1584	03	17				[Peru]	-11.800	-77.800				30	7	Tavera et al., 2001	8.40		s		Tavera et al., 2001	2	7	MM		7883
1585.0628020	Stucchi et al., 2012	1585	06	28	02			Athos	39.786	24.372	50.0	50.0	bw			Stucchi et al., 2012	7.06	0.39	w		University of Thessaloniki, 2003	3	8	MM		757
1586.0116000	UTSU online	1586	01	16				Ecchu	36.600	136.900						UTSU online	7.00		jma							758
1586.0118010	UTSU online	1586	01	18	01			Tsubu and Kinki area	36.000	136.900						UTSU online	7.80		jma							759
1586.0710000	Tavera et al., 2001	1586	07	10	00	30		[Peru]	-12.109	-77.028				40	10	Tavera et al., 2001	8.60		s		Tavera et al., 2001	12	9	MM		7885
1588.0104130	Ambraseys, 2006	1588	01	04				Dead Sea	29.000	36.000						Ambraseys, 2006	7.20		s							7654
1588.0809000	Min Ziqun, 1995	1588	08	09				Jianshui (Yunnan)	24.000	102.800	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6105
1590.0000000	Tavera et al., 2001	1590						[Peru]	-17.200	-72.900				40	7	Tavera et al., 2001	7.70		s		Tavera et al., 2001	2	7	MM		7886
1591.0314000	Zúñiga et al., 1997	1591	03	14				[Mexico]	16.000	-92.500				0		Zúñiga et al., 1997	7.00		w							788
1595.0421100	Stucchi et al., 2012	1595	04	21	10			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.10	0.30	w							795
1596.0904190	UTSU online	1596	09	04	19			Oita Pref.	33.300	131.600						UTSU online	7.00		jma							797
1596.0905010	UTSU online	1596	09	05	01			Kinki area	34.650	135.600						UTSU online	7.50		jma							798
1597.1006000	Min Ziqun, 1995	1597	10	06				Bohai Sea	38.500	120.000	150.0	150.0				Min Ziqun, 1995	7.00		s							6113
1600.0219100	Tavera et al., 2001	1600	02	19	10			[Peru]	-16.770	-70.900				20	11	Tavera et al., 2001	7.90		s		Tavera et al., 2001	2	11	MM		7887
1600.0228200	Tavera et al., 2001	1600	02	28	20			[Peru]	-16.600	-70.800				20	10	Tavera et al., 2001	8.10		s		Tavera et al., 2001	5	10	MM		7888
1600.0929000	Min Ziqun, 1995	1600	09	29				Nan'ao (Guangdong)	23.500	117.200	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6116
1604.1124180	CERESIS, 1995	1604	11	24	18	30		[Peru]	-17.880	-70.940				80	10	Lomnitz, 2004	8.25	0.25	s				10			835
1604.1229000	Min Ziqun, 1995	1604	12	29				Offshore Quanzhou (Fujian)	24.700	119.000	100.0	100.0				Min Ziqun, 1995	7.50		s							6120
1605.0203200	UTSU online	1605	02	03	20			Tokai, Nankai and Saikai roads	33.500	138.500						UTSU online	7.90		jma							843
1605.0713000	Min Ziqun, 1995	1605	07	13				Qiongshan (Hainan)	20.000	110.500	25.0	25.0			10	Min Ziqun, 1995	7.50		s							6125
1606.0323200	Tavera et al., 2001	1606	03	23	20			[Peru]	-7.000	-80.300				40	6	Tavera et al., 2001	6.50		s		Tavera et al., 2001	2	5	MM		7892
1606.1025130	Tavera et al., 2001	1606	10	25	13			[Peru]	-11.800	-77.800				60	9	Tavera et al., 2001	6.80		s		Tavera et al., 2001	1	8	MM		7893
1608.0420120	Ambraseys and Melville, 1982	1608	04	20				Taliqan	36.400	50.500						Ambraseys and Melville, 1982	7.60		s							6862
1609.0000000	Benito et al., 2012	1609						[Nicaragua]	12.420	-86.550			cat		8	Benito et al., 2012	7.20		w					MM		5318
1609.0400000	Stucchi et al., 2012	1609	04					Rhodos	36.200	29.000	10.0	10.0	cat		9	Stucchi et al., 2012	7.20	0.50	w		University of Thessaloniki, 2003	3	9	MM		859
1609.0712000	Min Ziqun, 1995	1609	07	11				Jiuquan and Hongyapu (Gansu)	39.200	99.000	50.0	50.0			10	Min Ziqun, 1995	7.25		s							6127
1609.1020010	CERESIS, 1995	1609	10	20	01			[Peru]	-11.900	-77.400				55	9	CERESIS, 1995	7.40		s				9			865
